epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.176,3.13544,4.23523,4.02386,0.61195,0.00461,0.00817,0.00221,2.69051,4.479,3.82156,0.0701266,0.00331927,0.00331927
2,248.569,3.11148,3.78863,3.62297,0.72311,0.16208,0.02269,0.00617,2.77207,5.31343,3.37293,0.0400827,0.00660869,0.00660869
3,359.149,2.73844,3.3241,3.20517,0.11055,0.24376,0.07204,0.02766,2.33887,4.52786,3.10648,0.00999477,0.00985412,0.00985412
4,470.918,2.26197,2.88298,2.76738,0.09918,0.19695,0.09093,0.03872,2.45919,20.5099,3.43283,0.009802,0.009802,0.009802
5,580.308,2.00993,2.58605,2.50997,0.32361,0.50056,0.34584,0.15768,1.85357,2.61699,2.59797,0.009736,0.009736,0.009736
6,693.528,1.86739,2.36987,2.35332,0.25891,0.42654,0.2733,0.11757,1.94071,3.0777,2.5376,0.00967,0.00967,0.00967
7,804.943,1.77278,2.22527,2.23646,0.40569,0.55283,0.4545,0.21385,1.75264,2.18813,2.30663,0.009604,0.009604,0.009604
8,915.677,1.69458,2.08899,2.15412,0.36805,0.59241,0.47446,0.24194,1.67688,2.14539,2.28096,0.009538,0.009538,0.009538
9,1030.61,1.64852,1.99981,2.10302,0.34862,0.42034,0.30642,0.15169,1.81186,2.61345,2.39463,0.009472,0.009472,0.009472
10,1140.49,1.61036,1.93197,2.06593,0.41304,0.59461,0.4728,0.2506,1.61639,2.02471,2.17518,0.009406,0.009406,0.009406
11,1253.23,1.58688,1.87901,2.03028,0.37853,0.61564,0.51001,0.2839,1.53603,1.92849,2.11614,0.00934,0.00934,0.00934
12,1363.8,1.55704,1.85458,2.00498,0.46848,0.58297,0.51142,0.27782,1.56517,1.86027,2.11445,0.009274,0.009274,0.009274
13,1477.49,1.53802,1.8074,1.98574,0.49055,0.57927,0.5132,0.2774,1.65014,1.88486,2.20329,0.009208,0.009208,0.009208
14,1588.44,1.51512,1.76517,1.9553,0.54229,0.61892,0.56334,0.31031,1.56549,1.72413,2.09866,0.009142,0.009142,0.009142
15,1700.34,1.50865,1.74123,1.94578,0.47787,0.63663,0.56217,0.3341,1.5228,1.71008,2.05435,0.009076,0.009076,0.009076
16,1812.91,1.49548,1.71158,1.92537,0.50054,0.64797,0.579,0.34591,1.49171,1.57623,2.04848,0.00901,0.00901,0.00901
17,1924.51,1.47615,1.68487,1.90993,0.52835,0.64641,0.57004,0.32739,1.51116,1.69971,2.0296,0.008944,0.008944,0.008944
18,2037.18,1.47105,1.67133,1.90145,0.47349,0.69333,0.60266,0.3501,1.49195,1.55939,2.00528,0.008878,0.008878,0.008878
19,2148.49,1.46137,1.64338,1.88621,0.57383,0.65877,0.60727,0.36674,1.4854,1.56523,2.03004,0.008812,0.008812,0.008812
20,2259.9,1.46386,1.63895,1.8901,0.53734,0.66418,0.62642,0.38369,1.50371,1.54473,2.01575,0.008746,0.008746,0.008746
21,2370.5,1.4279,1.60265,1.86292,0.54377,0.69179,0.63272,0.371,1.50306,1.5329,2.02704,0.00868,0.00868,0.00868
22,2481.03,1.4336,1.58597,1.85004,0.5383,0.69325,0.61768,0.37564,1.44923,1.47053,1.95208,0.008614,0.008614,0.008614
23,2592.58,1.43383,1.5748,1.85142,0.62722,0.64223,0.64503,0.40242,1.47509,1.53339,2.01633,0.008548,0.008548,0.008548
24,2701.54,1.42308,1.54239,1.83383,0.56958,0.66213,0.63258,0.38064,1.49657,1.45704,2.00167,0.008482,0.008482,0.008482
25,2813.98,1.41994,1.53702,1.83364,0.60714,0.67041,0.65211,0.39351,1.45039,1.48309,1.98123,0.008416,0.008416,0.008416
